Time,[Altitude (Baro-Ft-AGL)]
0,7.25879
0.00125,7.25879
0.0025,7.25879
0.00375,7.25879
0.005,7.25879
0.00625,7.25879
0.0075,7.25879
0.00875,7.25879
0.01,7.25879
0.01125,7.25879
0.0125,7.25879
0.01375,7.25879
0.015,7.25879
0.01625,7.25879
0.0175,7.25879
0.01875,7.25879
0.02,7.25879
0.02125,7.25879
0.0225,7.25879
0.02375,7.25879
0.025,7.25879
0.02625,7.25879
0.0275,7.25879
0.02875,7.25879
0.03,7.25879
0.03125,7.25879
0.0325,7.25879
0.03375,7.25879
0.035,7.25879
0.03625,7.25879
0.0375,7.25879
0.03875,7.25879
0.04,7.25879
0.04125,7.25879
0.0425,7.25879
0.04375,7.25879
0.045,7.25879
0.04625,7.25879
0.0475,7.25879
0.04875,7.25879
0.05,7.25879
0.05125,7.25879
0.0525,7.25879
0.05375,7.25879
0.055,7.25879
0.05625,7.25879
0.0575,7.25879
0.05875,7.25879
0.06,7.25879
0.06125,7.25879
0.0625,7.25879
0.06375,7.25879
0.065,7.25879
0.06625,7.25879
0.0675,7.25879
0.06875,7.25879
0.07,7.25879
0.07125,7.25879
0.0725,7.25879
0.07375,7.25879
0.075,7.25879
0.07625,7.25879
0.0775,7.25879
0.07875,7.25879
0.08,7.25879
0.08125,7.25879
0.0825,7.25879
0.08375,7.25879
0.085,7.25879
0.08625,7.25879
0.0875,7.25879
0.08875,7.25879
0.09,7.25879
0.09125,7.25879
0.0925,7.25879
0.09375,8.39441
0.095,8.39441
0.09625,8.39441
0.0975,8.39441
0.09875,8.39441
0.1,8.39441
0.10125,8.39441
0.1025,8.39441
0.10375,8.39441
0.105,8.39441
0.10625,8.39441
0.1075,8.39441
0.10875,8.39441
0.11,8.39441
0.11125,8.39441
0.1125,8.39441
0.11375,8.39441
0.115,8.39441
0.11625,8.39441
0.1175,8.39441
0.11875,8.39441
0.12,8.39441
0.12125,8.39441
0.1225,8.39441
0.12375,8.39441
0.125,8.39441
0.12625,8.39441
0.1275,8.39441
0.12875,8.39441
0.13,8.39441
0.13125,8.39441
0.1325,8.39441
0.13375,8.39441
0.135,8.39441
0.13625,8.39441
0.1375,8.39441
0.13875,8.39441
0.14,8.39441
0.14125,8.39441
0.1425,8.39441
0.14375,8.39441
0.145,8.39441
0.14625,8.39441
0.1475,8.39441
0.14875,8.39441
0.15,8.39441
0.15125,8.39441
0.1525,8.39441
0.15375,8.39441
0.155,8.39441
0.15625,8.39441
0.1575,8.39441
0.15875,8.39441
0.16,8.39441
0.16125,8.39441
0.1625,8.39441
0.16375,8.39441
0.165,8.39441
0.16625,8.39441
0.1675,8.39441
0.16875,8.39441
0.17,8.39441
0.17125,8.39441
0.1725,8.39441
0.17375,8.39441
0.175,8.39441
0.17625,8.39441
0.1775,8.39441
0.17875,8.39441
0.18,8.39441
0.18125,8.39441
0.1825,8.39441
0.18375,8.39441
0.185,8.39441
0.18625,8.39441
0.1875,8.39441
0.18875,8.39441
0.19,8.39441
0.19125,8.39441
0.1925,8.39441
0.19375,8.39441
0.195,8.39441
0.19625,8.39441
0.1975,8.39441
0.19875,8.39441
0.2,8.39441
0.20125,8.39441
0.2025,8.39441
0.20375,8.39441
0.205,8.39441
0.20625,8.39441
0.2075,8.39441
0.20875,8.39441
0.21,8.39441
0.21125,8.39441
0.2125,8.39441
0.21375,8.39441
0.215,8.39441
0.21625,8.39441
0.2175,8.39441
0.21875,8.39441
0.22,8.39441
0.22125,8.39441
0.2225,8.39441
0.22375,8.39441
0.225,8.39441
0.22625,8.39441
0.2275,8.39441
0.22875,8.39441
0.23,8.39441
0.23125,8.39441
0.2325,8.39441
0.23375,8.39441
0.235,8.39441
0.23625,8.39441
0.2375,8.39441
0.23875,8.39441
0.24,8.39441
0.24125,8.39441
0.2425,8.39441
0.24375,8.39441
0.245,8.39441
0.24625,8.39441
0.2475,8.39441
0.24875,8.39441
0.25,8.39441
0.25125,8.39441
0.2525,8.39441
0.25375,8.39441
0.255,8.39441
0.25625,8.39441
0.2575,8.39441
0.25875,8.39441
0.26,8.39441
0.26125,8.39441
0.2625,8.39441
0.26375,8.39441
0.265,8.39441
0.26625,8.39441
0.2675,8.39441
0.26875,8.39441
0.27,8.39441
0.27125,8.39441
0.2725,8.39441
0.27375,8.39441
0.275,8.39441
0.27625,8.39441
0.2775,8.39441
0.27875,8.39441
0.28,8.39441
0.28125,8.39441
0.2825,8.39441
0.28375,8.39441
0.285,8.39441
0.28625,8.39441
0.2875,8.39441
0.28875,8.39441
0.29,8.39441
0.29125,8.39441
0.2925,8.39441
0.29375,8.39441
0.295,8.39441
0.29625,8.39441
0.2975,8.39441
0.29875,8.39441
0.3,8.39441
0.30125,8.39441
0.3025,8.39441
0.30375,8.39441
0.305,8.39441
0.30625,8.39441
0.3075,8.39441
0.30875,8.39441
0.31,8.39441
0.31125,8.39441
0.3125,8.39441
0.31375,8.39441
0.315,8.39441
0.31625,8.39441
0.3175,8.39441
0.31875,8.39441
0.32,8.39441
0.32125,8.39441
0.3225,8.39441
0.32375,8.39441
0.325,8.39441
0.32625,8.39441
0.3275,8.39441
0.32875,8.39441
0.33,8.39441
0.33125,8.39441
0.3325,8.39441
0.33375,8.39441
0.335,8.39441
0.33625,8.39441
0.3375,8.39441
0.33875,8.39441
0.34,8.39441
0.34125,8.39441
0.3425,8.39441
0.34375,8.39441
0.345,14.0726
0.34625,14.0726
0.3475,14.0726
0.34875,14.0726
0.35,14.0726
0.35125,14.0726
0.3525,14.0726
0.35375,14.0726
0.355,14.0726
0.35625,14.0726
0.3575,14.0726
0.35875,14.0726
0.36,14.0726
0.36125,14.0726
0.3625,14.0726
0.36375,14.0726
0.365,14.0726
0.36625,14.0726
0.3675,14.0726
0.36875,14.0726
0.37,14.0726
0.37125,14.0726
0.3725,14.0726
0.37375,14.0726
0.375,14.0726
0.37625,14.0726
0.3775,14.0726
0.37875,14.0726
0.38,14.0726
0.38125,14.0726
0.3825,14.0726
0.38375,14.0726
0.385,14.0726
0.38625,14.0726
0.3875,14.0726
0.38875,14.0726
0.39,14.0726
0.39125,14.0726
0.3925,14.0726
0.39375,14.0726
0.395,27.7001
0.39625,27.7001
0.3975,27.7001
0.39875,27.7001
0.4,27.7001
0.40125,27.7001
0.4025,27.7001
0.40375,27.7001
0.405,27.7001
0.40625,27.7001
0.4075,27.7001
0.40875,27.7001
0.41,27.7001
0.41125,27.7001
0.4125,27.7001
0.41375,27.7001
0.415,27.7001
0.41625,27.7001
0.4175,27.7001
0.41875,27.7001
0.42,27.7001
0.42125,27.7001
0.4225,27.7001
0.42375,27.7001
0.425,27.7001
0.42625,27.7001
0.4275,27.7001
0.42875,27.7001
0.43,27.7001
0.43125,27.7001
0.4325,27.7001
0.43375,27.7001
0.435,27.7001
0.43625,27.7001
0.4375,27.7001
0.43875,27.7001
0.44,27.7001
0.44125,27.7001
0.4425,27.7001
0.44375,27.7001
0.445,33.387
0.44625,33.387
0.4475,33.387
0.44875,33.387
0.45,33.387
0.45125,33.387
0.4525,33.387
0.45375,33.387
0.455,33.387
0.45625,33.387
0.4575,33.387
0.45875,33.387
0.46,33.387
0.46125,33.387
0.4625,33.387
0.46375,33.387
0.465,33.387
0.46625,33.387
0.4675,33.387
0.46875,33.387
0.47,33.387
0.47125,33.387
0.4725,33.387
0.47375,33.387
0.475,33.387
0.47625,33.387
0.4775,33.387
0.47875,33.387
0.48,33.387
0.48125,33.387
0.4825,33.387
0.48375,33.387
0.485,33.387
0.48625,33.387
0.4875,33.387
0.48875,33.387
0.49,33.387
0.49125,33.387
0.4925,33.387
0.49375,33.387
0.495,44.752
0.49625,44.752
0.4975,44.752
0.49875,44.752
0.5,44.752
0.50125,44.752
0.5025,44.752
0.50375,44.752
0.505,44.752
0.50625,44.752
0.5075,44.752
0.50875,44.752
0.51,44.752
0.51125,44.752
0.5125,44.752
0.51375,44.752
0.515,44.752
0.51625,44.752
0.5175,44.752
0.51875,44.752
0.52,44.752
0.52125,44.752
0.5225,44.752
0.52375,44.752
0.525,44.752
0.52625,44.752
0.5275,44.752
0.52875,44.752
0.53,44.752
0.53125,44.752
0.5325,44.752
0.53375,44.752
0.535,44.752
0.53625,44.752
0.5375,44.752
0.53875,44.752
