Time,Axial Accel (Gs),Lateral Accel (Gs)
0,0.89,0.26
0.00125,0.89,0.26
0.0025,0.89,0.26
0.00375,0.89,0.26
0.005,0.89,0.26
0.00625,0.89,0.52
0.0075,0.89,0.52
0.00875,0.89,0.52
0.01,0.82,0.52
0.01125,0.82,0.08
0.0125,0.89,0.08
0.01375,0.89,0.08
0.015,0.89,0.08
0.01625,0.89,0.08
0.0175,0.89,0.08
0.01875,0.89,0.08
0.02,0.89,0.08
0.02125,0.89,0.08
0.0225,0.89,0.08
0.02375,0.89,0.08
0.025,0.89,0.08
0.02625,0.89,0.17
0.0275,0.89,0.17
0.02875,0.89,0.17
0.03,0.89,0.17
0.03125,0.89,0.08
0.0325,0.89,0.08
0.03375,0.89,0.08
0.035,1.03,0.08
0.03625,1.03,0.26
0.0375,0.96,0.26
0.03875,0.96,0.26
0.04,0.89,0.26
0.04125,0.89,0.26
0.0425,0.89,0.26
0.04375,0.89,0.26
0.045,0.89,0.26
0.04625,0.89,0.35
0.0475,0.89,0.35
0.04875,0.89,0.35
0.05,0.96,0.35
0.05,0.96,0.35
0.05,0.96,0.35
0.05125,0.96,0.35
0.0525,0.89,0.35
0.05375,0.89,0.35
0.055,0.89,0.35
0.05625,0.89,0.52
0.0575,0.89,0.52
0.05875,0.89,0.52
0.06,0.89,0.52
0.06125,0.89,0
0.0625,0.89,0
0.06375,0.89,0
0.065,0.89,0
0.06625,0.89,0.26
0.0675,0.89,0.26
0.06875,0.89,0.26
0.07,0.89,0.26
0.07125,0.89,0.08
0.0725,0.89,0.08
0.07375,0.89,0.08
0.075,1.03,0.08
0.07625,1.03,0.26
0.0775,0.89,0.26
0.07875,0.89,0.26
0.08,0.82,0.26
0.08125,0.82,0.08
0.0825,0.82,0.08
0.08375,0.82,0.08
0.085,0.89,0.08
0.08625,0.89,0.17
0.0875,0.89,0.17
0.08875,0.89,0.17
0.09,0.89,0.17
0.09125,0.89,0.26
0.0925,0.82,0.26
0.09375,0.82,0.26
0.095,0.89,0.26
0.09625,0.89,0.17
0.0975,0.89,0.17
0.09875,0.89,0.17
0.1,0.89,0.17
0.1,0.89,0.17
0.1,0.89,0.17
0.10125,0.89,0.26
0.1025,0.89,0.26
0.10375,0.89,0.26
0.105,0.89,0.26
0.10625,0.89,0.17
0.1075,0.89,0.17
0.10875,0.89,0.17
0.11,0.89,0.17
0.11125,0.89,0.17
0.1125,0.82,0.17
0.11375,0.82,0.17
0.115,0.89,0.17
0.11625,0.89,0.17
0.1175,0.96,0.17
0.11875,0.96,0.17
0.12,0.96,0.17
0.12125,0.96,0.35
0.1225,0.89,0.35
0.12375,0.89,0.35
0.125,0.89,0.35
0.12625,0.89,0.26
0.1275,0.89,0.26
0.12875,0.89,0.26
0.13,0.96,0.26
0.13125,0.96,0.26
0.1325,0.96,0.26
0.13375,0.96,0.26
0.135,0.89,0.26
0.13625,0.89,0.26
0.1375,0.89,0.26
