Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
0,0.89,b0000,0.00125,0.26,b0000
0.0025,0.89,b0000,0.00625,0.52,b0000
0.005,0.89,b0000,0.01125,0.08,b0000
0.0075,0.89,b0000,0.01625,0.08,b0000
0.01,0.82,b0000,0.02125,0.08,b0000
0.0125,0.89,b0000,0.02625,0.17,b0000
0.015,0.89,b0000,0.03125,0.08,b0000
0.0175,0.89,b0000,0.03625,0.26,b0000
0.02,0.89,b0000,0.04125,0.26,b0000
0.0225,0.89,b0000,0.04625,0.35,b0000
0.025,0.89,b0000,0.05125,0.35,b0000
0.0275,0.89,b0000,0.05625,0.52,b0000
0.03,0.89,b0000,0.06125,0,b0000
0.0325,0.89,b0000,0.06625,0.26,b0000
0.035,1.03,b0000,0.07125,0.08,b0000
0.0375,0.96,b0000,0.07625,0.26,b0000
0.04,0.89,b0000,0.08125,0.08,b0000
0.0425,0.89,b0000,0.08625,0.17,b0000
0.045,0.89,b0000,0.09125,0.26,b0000
0.0475,0.89,b0000,0.09625,0.17,b0000
0.05,0.96,b0000,0.10125,0.26,b0000
0.0525,0.89,b0000,0.10625,0.17,b0000
0.055,0.89,b0000,0.11125,0.17,b0000
0.0575,0.89,b0000,0.11625,0.17,b0000
0.06,0.89,b0000,0.12125,0.35,b0000
0.0625,0.89,b0000,0.12625,0.26,b0000
0.065,0.89,b0000,0.13125,0.26,b0000
0.0675,0.89,b0000,0.13625,0.26,b0000
0.07,0.89,b0000,0.14125,0.17,b0000
0.0725,0.89,b0000,0.14625,0.35,b0000
0.075,1.03,b0000,0.15125,0.17,b0000
0.0775,0.89,b0000,0.15625,0.17,b0000
0.08,0.82,b0000,0.16125,0.17,b0000
0.0825,0.82,b0000,0.16625,0,b0000
0.085,0.89,b0000,0.17125,-1.4,b0000
0.0875,0.89,b0000,0.17625,1.83,b0000
0.09,0.89,b0000,0.18125,-0.35,b0000
0.0925,0.82,b0000,0.18625,0.78,b0000
0.095,0.89,b0000,0.19125,-1.57,b0000
0.0975,0.89,b0000,0.19625,-0.35,b0000
0.1,0.89,b0000,0.20125,-0.35,b0000
0.1025,0.89,b0000,0.20625,0.52,b0000
0.105,0.89,b0000,0.21125,0.43,b0000
0.1075,0.89,b0000,0.21625,0.08,b0000
0.11,0.89,b0000,0.22125,2.45,b0000
0.1125,0.82,b0000,0.22625,0.43,b0000
0.115,0.89,b0000,0.23125,0.78,b0000
0.1175,0.96,b0000,0.23625,0.7,b0000
0.12,0.96,b0000,0.24125,1.22,b0000
0.1225,0.89,b0000,0.24625,-1.05,b0000
0.125,0.89,b0000,0.2525,1.22,b0000
0.1275,0.89,b0000,0.2575,0,b0000
0.13,0.96,b0000,0.2625,0.87,b0000
0.1325,0.96,b0000,0.2675,-3.32,b0000
0.135,0.89,b0000,0.2725,1.4,b0000
0.1375,0.89,b0000,0.2775,1.05,b1000
0.14,0.89,b0000,0.2825,0.43,b1100
0.1425,0.89,b0000,0.2875,-2.62,b1100
0.145,0.89,b0000,0.2925,0.87,b1100
0.1475,0.89,b0000,0.2975,-0.52,b1100
0.15,0.89,b0000,0.3025,0.7,b1100
0.1525,0.89,b0000,0.3075,6.3,b1100
0.155,0.89,b0000,0.3125,-3.5,b1100
0.1575,0.89,b0000,0.3175,2.45,b1100
0.16,0.89,b0000,0.3225,1.4,b1100
0.1625,0.89,b0000,0.3275,-0.17,b1100
0.165,1.1,b0000,0.3325,-4.72,b1100
0.1675,1.17,b0000,0.3375,1.75,b1100
0.17,7.71,b0000,0.3425,0.96,b1100
0.1725,7.71,b0000,0.3475,0.7,b1100
0.175,10.94,b0000,0.3525,-0.17,b1100
0.1775,10.31,b0000,0.3575,0.35,b1100
0.18,9.96,b0000,0.3625,0.78,b1100
0.1825,9.96,b0000,0.3675,0.08,b1100
0.185,10.38,b0000,0.3725,0.7,b1100
0.1875,11.65,b0000,0.3775,0.35,b1100
0.19,12.14,b0000,0.3825,0.35,b1100
0.1925,12.84,b0000,0.3875,0.35,b1100
0.195,13.4,b0000,0.3925,0.7,b1100
0.1975,13.61,b0000,0.3975,0.43,b1100
0.2,14.6,b0000,0.4025,0.35,b1100
0.2025,14.74,b0000,0.4075,0.7,b1100
0.205,15.3,b0000,0.4125,0.43,b1100
0.2075,15.23,b0000,0.4175,0.43,b1100
0.21,15.65,b0000,0.4225,0.43,b1100
0.2125,16.01,b0000,0.4275,1.13,b1100
0.215,16.64,b0000,0.4325,0.7,b1100
0.2175,17.2,b0000,0.4375,0.43,b1100
0.22,17.62,b0000,0.4425,0.7,b1100
0.2225,17.69,b0000,0.4475,0.35,b1100
0.225,17.62,b0000,0.4525,0.52,b1100
0.2275,17.76,b0000,0.4575,0.43,b1100
0.23,17.83,b0000,0.4625,0.43,b1100
0.2325,17.69,b0000,0.4675,0.52,b1100
0.235,17.62,b0000,0.4725,0.78,b1100
0.2375,17.62,b0000,0.4775,-1.66,b1100
0.24,17.62,b0000,0.4825,1.66,b1100
0.2425,17.27,b0000,0.4875,0.7,b1100
0.245,17.34,b0000,0.4925,0.17,b1100
0.2475,17.48,b0000,0.4975,0.43,b1100
0.25125,17.48,b0000,0.5025,0.43,b1100
0.25375,17.48,b0000,0.5075,0.78,b1100
0.25625,17.34,b0000,0.5125,0.35,b1100
0.25875,17.27,b0000,0.5175,0.7,b1100
0.26125,17.13,b0000,0.5225,0.52,b1100
0.26375,16.99,b0000,0.5275,0.52,b1100
0.26625,17.27,b0000,0.5325,0.43,b1100
0.26875,16.99,b0000,0.5375,0.52,b1100
0.27125,20.58,b0000,0.5425,0.43,b1100
0.27375,0.33,b0000,0.5475,0.43,b1100
0.27625,33.24,b1000,0.5525,0.7,b1100
